Intensity,125 Hz_x,125 Hz_y,125 Hz_z,250 Hz_x,250 Hz_y,250 Hz_z,500 Hz_x,500 Hz_y,500 Hz_z,1000 Hz_x,1000 Hz_y,1000 Hz_z,2000 Hz_x,2000 Hz_y,2000 Hz_z,4000 Hz_x,4000 Hz_y,4000 Hz_z
1.00 ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.00 ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.00 ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.00 ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.00 ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.00 ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.00 ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.00 ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.00 ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.00 ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.00 ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.00 ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.00 ms,7.144052016627711e-09,-1.0489633162080736e-08,6.818378750494958e-09,1.4254264435464847e-08,-2.0929578070649768e-08,1.360445978093594e-08,2.844097934939782e-08,-4.1759967928101105e-08,2.7144446690385848e-08,5.674723979609553e-08,-8.332213496942131e-08,5.4160320672735907e-08,1.1322555337756057e-07,-1.662493929188713e-07,1.0806397199303319e-07,2.2591476067646e-07,-3.317113055345544e-07,2.156160547883701e-07
14.00 ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.00 ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.00 ms,4.312911805470776e-09,-3.937252746055719e-09,3.167246243052091e-09,9.467031603094256e-09,-1.0636995284585282e-08,1.1143039380101527e-08,1.7128796159227022e-08,-1.6709181593910216e-08,1.4725996422271237e-08,2.3551303129920598e-08,-2.2721312831208706e-08,1.9878310553167466e-08,1.0606260758549979e-07,-9.272788048519942e-08,6.976181055051711e-08,2.0142628898156545e-07,-1.82903619361241e-07,1.4550943205904332e-07
17.00 ms,2.5123392255466115e-09,-4.874876058380551e-09,2.7807400826418416e-09,5.93838134221869e-09,-1.0307652509311538e-08,8.158936637414627e-09,1.5607984238386052e-08,-3.141323645650118e-08,1.7248829919935815e-08,1.8085556163782712e-08,-3.420056060576826e-08,2.0348439377926297e-08,5.4393922255258076e-08,-1.1004716071738585e-07,5.7678949616501995e-08,8.822192398838524e-08,-1.7022513532083394e-07,1.0050500520719652e-07
18.00 ms,1.131958748956663e-09,1.0641142411671467e-09,1.144697447941212e-09,2.379987762424207e-09,2.550855970895327e-09,2.3903976575923025e-09,8.612683011222089e-09,1.4490859179261406e-08,8.58317861229807e-09,1.768687241110456e-08,2.8615183111924125e-08,1.6011702186347065e-08,4.1643154702342144e-08,7.565973447754004e-08,4.172456868900554e-08,6.883481518116241e-08,1.226160435408019e-07,7.026426374068251e-08
19.00 ms,5.149075388288793e-09,-5.185647466987575e-09,4.224205429892436e-09,7.152864078818766e-09,-7.775946109234155e-09,5.684607451428292e-09,1.2981817398838302e-08,-1.3722877945099299e-08,1.0406380646088564e-08,3.010282867421665e-08,-3.0723768418283726e-08,2.442455837581292e-08,4.424692079396664e-08,-4.123532093558424e-08,4.435235823052608e-08,9.708276138553629e-08,-9.8037673978979e-08,8.106996318701931e-08
20.00 ms,2.03603645054784e-09,8.893678571375574e-10,2.2408452871047757e-09,4.175953804974597e-09,-3.7083416337679864e-09,5.09076603094627e-09,9.173716009058808e-09,1.3158881762009855e-09,8.95823593083378e-09,1.61319722025155e-08,3.3631246676435467e-09,1.777181779516468e-08,2.4626283234852053e-08,-1.8709492621837853e-08,3.617823551849142e-08,6.509416294875336e-08,3.0979698806277156e-08,6.332841451239801e-08
21.00 ms,-6.810069869134239e-11,6.209989189542853e-10,1.2524750125919581e-09,1.0842194919646886e-09,-2.9605198292870227e-09,1.9414228558112256e-10,6.297883992090192e-09,-5.130356584004403e-09,-2.271173249468461e-09,1.7164150989401605e-08,-6.953761122474589e-09,-6.959375298265513e-09,1.2644555624774512e-08,-5.3250599485465955e-09,1.4483128030207126e-09,5.018917192955996e-08,-5.3830760293749336e-08,-3.2938303196061725e-09
