SPL,125 Hz,250 Hz,500 Hz,1000 Hz,2000 Hz,4000 Hz
1.00 ms,0.0,0.0,0.0,0.0,0.0,0.0
2.00 ms,0.0,0.0,0.0,0.0,0.0,0.0
3.00 ms,0.0,0.0,0.0,0.0,0.0,0.0
4.00 ms,0.0,0.0,0.0,0.0,0.0,0.0
5.00 ms,0.0,0.0,0.0,0.0,0.0,0.0
6.00 ms,0.0,0.0,0.0,0.0,0.0,0.0
7.00 ms,0.0,0.0,0.0,0.0,0.0,0.0
8.00 ms,0.0,0.0,0.0,0.0,0.0,0.0
9.00 ms,0.0,0.0,0.0,0.0,0.0,0.0
10.00 ms,0.0,0.0,0.0,0.0,0.0,0.0
11.00 ms,0.0,0.0,0.0,0.0,0.0,0.0
12.00 ms,0.0,0.0,0.0,0.0,0.0,0.0
13.00 ms,5.953656909696292e-06,1.187911220768001e-05,2.3701928512309678e-05,4.72915853606537e-05,9.435905667487532e-05,0.00018827115127351135
14.00 ms,0.0,0.0,0.0,0.0,0.0,0.0
15.00 ms,0.0,0.0,0.0,0.0,0.0,0.0
16.00 ms,2.8110600851505296e-06,7.692650797253009e-06,1.1956121852563228e-05,1.6287807738990523e-05,6.608222611248493e-05,0.00013037903408985585
17.00 ms,2.6104767130163964e-06,6.1652949625568e-06,1.652594619372394e-05,1.8607088350108825e-05,5.7212171668652445e-05,9.196266910294071e-05
18.00 ms,1.2567323892653803e-06,2.706044597289292e-06,9.86350278253667e-06,1.9508710465743206e-05,4.787179204868153e-05,8.101757703116164e-05
19.00 ms,3.7863728721276857e-06,5.5611099014640786e-06,9.99555140879238e-06,2.2715827071806416e-05,3.491254028631374e-05,7.488676783395931e-05
20.00 ms,2.0516340555332135e-06,4.383314717415487e-06,8.46952843858162e-06,1.6481119018862955e-05,2.901092011597939e-05,6.268769357120618e-05
21.00 ms,2.843290985765634e-06,5.640782092086738e-06,1.4349384400702547e-05,2.5377979909535497e-05,3.7620160583173856e-05,0.00010378855222370476
22.00 ms,2.5591978101147106e-06,4.318865194363752e-06,8.396497833018657e-06,1.1992939107585698e-05,3.923890835721977e-05,6.508178194053471e-05
23.00 ms,1.8986139593835105e-06,3.2683044537407113e-06,8.268622877949383e-06,1.9417473595240153e-05,3.357993773533963e-05,5.1711609557969496e-05
24.00 ms,2.943059371318668e-06,6.078822934796335e-06,1.0784404366859235e-05,2.8537591788335703e-05,5.109029370942153e-05,9.37956283451058e-05
25.00 ms,2.166912963730283e-06,4.899894975096686e-06,1.1729987818398513e-05,1.3502569345291704e-05,2.8237927836016752e-05,6.730260065523908e-05
26.00 ms,2.444081019348232e-06,4.716861894848989e-06,1.0501134966034442e-05,2.4136848878697492e-05,4.026058377348818e-05,8.734748553251848e-05
27.00 ms,1.5665706314393901e-06,2.915175628004363e-06,6.068737548048375e-06,1.0565657248662319e-05,2.662375663931016e-05,5.411113306763582e-05
28.00 ms,3.327822923893109e-06,5.251708444120595e-06,8.050421456573531e-06,1.683614573266823e-05,3.219114296371117e-05,6.051566015230492e-05
29.00 ms,1.535452838652418e-06,3.954387466365006e-06,5.355302164389286e-06,1.2446416803868487e-05,2.429942469461821e-05,3.737995939445682e-05
30.00 ms,1.219681735165068e-06,3.3975220503634773e-06,6.318357009149622e-06,9.724865776661318e-06,2.5329503841931e-05,4.397366501507349e-05
31.00 ms,1.6257563402177766e-06,2.4559888061048696e-06,4.092320978088537e-06,8.371237527171616e-06,2.0806626707781106e-05,3.0034467272344045e-05
32.00 ms,9.186953775497386e-07,1.6018104815884726e-06,5.3736230256618e-06,1.0180683602811769e-05,1.0927766197710298e-05,1.82607054739492e-05
33.00 ms,9.930615760822548e-07,1.143125700764358e-06,4.125960003875662e-06,9.619441698305309e-06,1.275334034289699e-05,2.8858792575192638e-05
34.00 ms,8.305805749841966e-07,1.242368512066605e-06,2.7908774882234866e-06,5.523069830815075e-06,1.5072519090608694e-05,1.232565500686178e-05
35.00 ms,5.866235142093501e-07,1.3993460470373975e-06,1.878009697975358e-06,3.351166469656164e-06,9.376805792271625e-06,8.019724191399291e-06
36.00 ms,7.445115102200361e-07,1.1675380164888338e-06,3.508707322907867e-06,2.909339400503086e-06,5.7973520597442985e-06,1.724370667943731e-05
37.00 ms,1.0648118404787965e-06,1.3738201687374385e-06,2.390920826655929e-06,4.699450983025599e-06,4.970016561856028e-06,2.7457090254756622e-05
38.00 ms,5.594377512352366e-07,7.593253599225136e-07,1.6219952385654324e-06,2.0604650217137532e-06,6.550947546202224e-06,2.1712254238082096e-05
39.00 ms,7.243331765494077e-07,1.6018979067666805e-06,4.306743903725874e-06,9.859601959760766e-06,1.206755950988736e-05,2.355370088480413e-05
40.00 ms,7.887479682722187e-07,1.234946580552787e-06,3.01946261060948e-06,7.372246273007477e-06,1.0419334103062283e-05,2.123852573276963e-05
41.00 ms,1.1089198324043537e-06,2.123131707776338e-06,5.453172889247071e-06,5.611896995105781e-06,1.1330278539389838e-05,2.830973062373232e-05
42.00 ms,7.99312658728013e-07,1.1860995527968043e-06,5.182726908969926e-06,5.591501121671172e-06,1.5600151527905837e-05,1.5598299796693027e-05
43.00 ms,7.24863127743447e-07,2.0518775727396132e-06,4.1700550355017185e-06,8.053681995079387e-06,9.437663720746059e-06,1.9706225430127233e-05
44.00 ms,8.765417192080349e-07,1.7987225646720617e-06,1.8924682763099554e-06,6.508497790491674e-06,7.909480700618587e-06,2.095490890496876e-05
45.00 ms,7.344096957240254e-07,2.353967147428193e-06,3.7877866816415917e-06,7.317673862416996e-06,1.6017220332287252e-05,2.0998688341933303e-05
46.00 ms,7.706378255534219e-07,2.0795180262211943e-06,2.749407485680422e-06,8.106035238597542e-06,1.0105348337674513e-05,1.9062465071328916e-05
47.00 ms,8.064320695666538e-07,1.5650517752874293e-06,2.4465907699777745e-06,7.982478564372286e-06,1.3386438695306424e-05,1.3507225958164781e-05
48.00 ms,8.178046755347168e-07,1.1566608009161428e-06,2.5040553737198934e-06,2.7227827104070457e-06,1.3152443898434285e-05,2.05749056476634e-05
49.00 ms,6.955513640605204e-07,1.1486747553135501e-06,3.050433178941603e-06,2.441182004986331e-06,1.230054385814583e-05,3.7810572393937036e-05
50.00 ms,8.606340315964189e-07,1.914850599860074e-06,4.418490789248608e-06,5.840636731591076e-06,1.3758452951151412e-05,1.935185537149664e-05
51.00 ms,7.312029310924117e-07,1.9678309399751015e-06,3.295233227618155e-06,5.816437806061003e-06,1.4376905710378196e-05,2.4627181119285524e-05
52.00 ms,6.345147198771883e-07,1.7867173482954968e-06,2.571523737060488e-06,3.5566977203416172e-06,9.517476428300142e-06,2.399013283138629e-05
53.00 ms,5.890306624678487e-07,1.2427840374584775e-06,2.3321288153965725e-06,5.065776804258348e-06,1.0524312529014423e-05,2.3455708287656307e-05
54.00 ms,4.969633096152393e-07,8.04517924279935e-07,2.4080729872366646e-06,4.1264574974775314e-06,1.2603063623828348e-05,1.974367660295684e-05
55.00 ms,5.839914365424193e-07,1.6131344864334096e-06,2.4243381631094962e-06,6.61610056340578e-06,1.163024080597097e-05,2.163492354156915e-05
56.00 ms,8.121994028442714e-07,1.0254443623125553e-06,2.068003368549398e-06,4.201498086331412e-06,1.1162605915160384e-05,1.395714298269013e-05
57.00 ms,5.416458748186415e-07,1.0158083796341089e-06,2.7625410439213738e-06,4.85438977193553e-06,6.57749797028373e-06,1.7180011127493344e-05
58.00 ms,3.3570640312063915e-07,8.429569220425037e-07,1.548175532661844e-06,4.35310084867524e-06,6.503480108221993e-06,1.3102138836984523e-05
59.00 ms,3.2799084692669567e-07,5.626611709885765e-07,2.290481461386662e-06,3.0886344575264957e-06,4.466757673071697e-06,8.174489266821183e-06
60.00 ms,3.388929030734289e-07,9.327150110038929e-07,2.3807101570127998e-06,1.749320972521673e-06,6.062525699235266e-06,1.3139769180270378e-05
61.00 ms,3.5770125350609305e-07,1.1012443792424165e-06,1.8457756141287973e-06,2.1395112526079174e-06,7.337024726439267e-06,1.2241572221682873e-05
62.00 ms,5.543597012547252e-07,8.283178658530232e-07,1.363674982712837e-06,2.1443363493744982e-06,5.812818926642649e-06,6.840623427706305e-06
63.00 ms,3.005716564530303e-07,3.449994778748078e-07,1.1590867643462843e-06,1.8072018974635284e-06,2.387618678767467e-06,7.714788807788864e-06
64.00 ms,2.620730867874954e-07,7.37294669761468e-07,1.1858658126584487e-06,2.397630851191934e-06,3.5317525544087403e-06,1.0428058885736391e-05
65.00 ms,1.9756072333620978e-07,5.077804985376133e-07,1.4162208117340924e-06,1.972021209439845e-06,4.319444542488782e-06,1.2218078154546674e-05
66.00 ms,3.124456782188645e-07,4.938403890264453e-07,1.0411771427243366e-06,2.020097781496588e-06,7.458456821041182e-06,1.2499559488787781e-05
67.00 ms,2.536018826049258e-07,5.403047111940396e-07,1.7292317124883994e-06,1.7379371684000944e-06,5.241891813057009e-06,7.1095901148510166e-06
